Time Energy_LWR_A	Energy_LWR_B	Energy_SFR_A	Energy_SFR_B	FreshFuel_LWR_A	FreshFuel_LWR_B	FreshFuel_SFR_A	FreshFuel_SFR_B	Separation_LWR	Separation_SFR_A	Separation_SFR_B	Cooling_LWR_A	Cooling_LWR_B	Cooling_SFR_A	Cooling_SFR_B	Separation_LWR_A	Separation_LWR_B	Separation_SFR_A	Separation_SFR_B	EnrichFeed	EnrichSWU
2015 0 0 0 0 1.03481e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.80951e+07 6.50416e+07
2016 90000 0 0 0 1.4783e+06 103481 0 0 0 0 0 1.4783e+06 0 0 0 0 0 0 0 1.3466e+07 9.94208e+06
2017 90000 900 0 0 1.4783e+06 118264 0 0 0 0 0 2.9566e+06 14783 0 0 0 0 0 0 1.35918e+07 1.0035e+07
2018 90000 1800 0 0 2.9566e+06 133047 0 0 0 0 0 4.4349e+06 44349 0 0 0 0 0 0 2.63027e+07 1.94196e+07
2019 90000 2700 0 0 1.4783e+06 162613 0 0 0 0 0 7.3915e+06 88698 0 0 0 0 0 0 1.39694e+07 1.03137e+07
2020 90000 3600 0 0 1.4783e+06 177396 0 0 0 0 0 8.8698e+06 162613 0 0 0 0 0 0 1.40952e+07 1.04067e+07
2021 90000 4500 0 0 2.9566e+06 192179 0 0 0 0 0 1.03481e+07 251311 0 0 0 0 0 0 2.68061e+07 1.97912e+07
2022 90000 5400 0 0 1.4783e+06 221745 0 0 0 0 0 1.33047e+07 354792 0 0 0 0 0 0 1.44728e+07 1.06854e+07
2023 90000 6300 0 0 1.4783e+06 236528 0 0 2.9566e+06 0 0 1.33047e+07 487839 0 0 0 0 0 0 1.45986e+07 1.07783e+07
2024 90000 7200 0 0 2.9566e+06 251311 0 0 1.50787e+06 0 0 1.33047e+07 620886 0 0 0 0 0 0 2.73095e+07 2.01629e+07
2025 90000 8100 0 0 1.4783e+06 280877 0 0 1.52265e+06 0 0 1.4783e+07 753933 0 0 0 0 0 0 1.49762e+07 1.10571e+07
2026 90000 9000 0 0 1.4783e+06 399141 0 0 3.01573e+06 0 0 1.33047e+07 901763 0 0 0 0 0 0 1.5983e+07 1.18004e+07
2027 90000 10800 0 0 2.9566e+06 325226 0 0 1.567e+06 0 0 1.33047e+07 1.04959e+06 0 0 0 0 0 0 2.79387e+07 2.06275e+07
2028 90000 11700 0 0 1.4783e+06 354792 0 0 1.58178e+06 0 0 1.4783e+07 1.19742e+06 0 0 0 0 0 0 1.56054e+07 1.15217e+07
2029 90000 12600 0 0 1.4783e+06 384358 0 0 3.07486e+06 0 0 1.33047e+07 1.36004e+06 0 0 0 0 0 0 1.58571e+07 1.17075e+07
2030 90000 13500 0 0 2.8679e+06 694801 0 0 1.62613e+06 0 0 1.33047e+07 1.52265e+06 0 0 0 0 0 0 3.03299e+07 2.23929e+07
2031 87300 17100 0 0 1.40438e+06 665235 0 0 1.64091e+06 0 0 1.49604e+07 1.71483e+06 0 0 0 0 0 0 1.7619e+07 1.30083e+07
2032 85500 19800 0 0 1.36004e+06 827848 0 0 3.134e+06 0 0 1.35856e+07 1.95136e+06 0 0 0 0 0 0 1.86258e+07 1.37517e+07
2033 82800 23400 0 0 2.66094e+06 916546 0 0 1.68526e+06 0 0 1.37334e+07 2.23223e+06 0 0 0 0 0 0 3.04557e+07 2.24858e+07
2034 81000 27000 0 0 1.28612e+06 975678 0 0 1.72961e+06 0 0 1.50934e+07 2.57224e+06 0 0 0 0 0 0 1.92551e+07 1.42162e+07
2035 78300 30600 0 0 1.25656e+06 960895 0 0 3.20791e+06 0 0 1.36891e+07 2.9566e+06 0 0 0 0 0 0 1.88775e+07 1.39375e+07
2036 76500 33300 0 0 2.42441e+06 1.13829e+06 0 0 1.75918e+06 0 0 1.36447e+07 3.38531e+06 0 0 0 0 0 0 3.03299e+07 2.23929e+07
2037 73800 36900 0 0 1.18264e+06 1.09394e+06 0 0 2.01049e+06 0 0 1.48569e+07 3.87315e+06 0 0 0 0 0 0 1.93809e+07 1.43092e+07
2038 72000 39600 0 0 1.13829e+06 1.36004e+06 0 0 3.41487e+06 0 0 1.3083e+07 4.36098e+06 0 0 0 0 0 0 2.12687e+07 1.57029e+07
2039 69300 44100 0 0 2.21745e+06 1.27134e+06 0 0 2.06962e+06 0 0 1.29056e+07 4.87839e+06 0 0 0 0 0 0 2.97006e+07 2.19283e+07
2040 67500 46800 0 0 1.06438e+06 1.40438e+06 0 0 2.04005e+06 0 0 1.36743e+07 5.41058e+06 0 0 0 0 0 0 2.1017e+07 1.55171e+07
2041 64800 50400 0 0 1.03481e+06 1.50787e+06 0 0 3.50357e+06 0 0 1.21664e+07 5.89842e+06 0 0 0 0 0 0 2.16462e+07 1.59817e+07
2042 63000 54000 0 0 1.98092e+06 1.58178e+06 0 0 2.11397e+06 0 0 1.18264e+07 6.4306e+06 0 0 0 0 0 0 3.03299e+07 2.23929e+07
2043 60300 57600 0 0 960895 1.53743e+06 0 0 2.21745e+06 0 0 1.26395e+07 6.96279e+06 0 0 0 0 0 0 2.12687e+07 1.57029e+07
2044 58500 60300 0 0 916546 1.72961e+06 0 0 3.41487e+06 0 0 1.10872e+07 7.45063e+06 0 0 0 0 0 0 2.25272e+07 1.66321e+07
2045 55800 63900 0 0 1.77396e+06 1.80353e+06 0 0 2.27658e+06 0 0 1.09099e+07 7.9976e+06 0 0 0 0 0 0 3.04557e+07 2.24858e+07
2046 54000 67500 0 0 842631 1.84788e+06 0 0 2.27658e+06 0 0 1.14568e+07 8.52979e+06 0 0 0 0 0 0 2.29047e+07 1.69108e+07
2047 51300 71100 0 0 813065 1.86266e+06 0 0 3.48879e+06 0 0 1.01707e+07 9.01763e+06 0 0 0 0 0 0 2.27789e+07 1.68179e+07
2048 49500 73800 0 0 1.53743e+06 2.12875e+06 0 0 2.32093e+06 0 0 9.8307e+06 9.5646e+06 0 0 0 0 0 0 3.12108e+07 2.30433e+07
2049 46800 78300 0 0 739150 1.98092e+06 0 0 2.46876e+06 0 0 1.0422e+07 1.00968e+07 0 0 0 0 0 0 2.31564e+07 1.70967e+07
2050 45000 81000 0 0 694801 2.1731e+06 75240 0 3.41487e+06 0 0 9.09154e+06 1.05846e+07 0 0 0 0 0 0 2.44149e+07 1.80258e+07
2051 42300 84600 720 0 1.33047e+06 2.1731e+06 15048 0 2.49833e+06 0 0 8.91415e+06 1.11316e+07 0 0 0 0 0 0 2.98265e+07 2.20212e+07
2052 40500 87300 720 0 620886 2.38006e+06 15048 0 2.49833e+06 0 0 9.23938e+06 1.16638e+07 15048 0 0 0 0 0 2.55476e+07 1.88621e+07
2053 37800 91800 720 0 591320 2.30615e+06 15048 0 3.50357e+06 0 0 8.175e+06 1.21516e+07 30096 0 0 0 0 0 2.46666e+07 1.82117e+07
2054 36000 94500 720 0 1.09394e+06 2.58702e+06 15048 0 2.54268e+06 0 0 7.83499e+06 1.26986e+07 45144 0 0 0 0 0 3.13367e+07 2.31362e+07
2055 33300 99000 720 0 517405 2.33571e+06 90288 0 2.67572e+06 0 0 8.20456e+06 1.32456e+07 60192 0 0 0 0 0 2.42891e+07 1.79329e+07
2056 31500 100800 1440 0 473056 2.70529e+06 30096 0 3.44444e+06 0 0 7.09584e+06 1.37186e+07 75240 0 0 0 0 0 2.70578e+07 1.99771e+07
2057 28800 105300 1440 0 886980 2.63137e+06 30096 0 2.72007e+06 0 0 6.91844e+06 1.42656e+07 105336 0 0 0 0 0 2.99523e+07 2.21142e+07
2058 27000 108000 1440 0 399141 2.72007e+06 105336 0 2.72007e+06 15048 0 7.02192e+06 1.48126e+07 135432 0 0 0 0 0 2.65544e+07 1.96054e+07
